variant,mean_wall_clock_seconds,mean_tokens_per_second
adaptive_high,121.72247240278456,0.1053419960039154
adaptive_low,130.34601720174155,0.10427528793302143
baseline,116.01388605435689,0.09266169714078168
fixed_k,120.87451365258958,0.11384099737081398
