variant,mean_airllm_calls,mean_generated_tokens,mean_tokens_per_call,n_examples,pct_call_reduction_vs_baseline
adaptive_high,8.777777777777779,11.777777777777779,1.4121693121693122,9,18.556701030927833
adaptive_low,9.444444444444445,12.88888888888889,1.4096681096681096,9,12.37113402061856
baseline,10.777777777777779,10.777777777777779,1.0,9,0.0
fixed_k,9.666666666666666,12.666666666666666,1.3814534231200897,9,10.309278350515475
